City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
pareora,15,NZ,1595078540,97,-44.49,171.21,44.01,5.19
paraiso,5,MX,1595078541,94,18.4,-93.23,73.4,1.28
broome,0,AU,1595078495,94,-17.97,122.23,71.6,1.12
sokoto,100,NG,1595078541,58,13.06,5.24,83.93,9.33
santiago del estero,0,AR,1595078541,59,-27.8,-64.26,66.96,5.08
ubon ratchathani,20,TH,1595078541,70,15.22,104.85,86,3.36
surt,0,LY,1595078541,59,31.21,16.59,82.42,11.54
prince rupert,100,CA,1595078250,93,54.32,-130.32,55.4,9.17
kuito,0,AO,1595078542,27,-12.38,16.93,64.4,11.41
nemuro,6,JP,1595077955,95,43.32,145.57,58.64,10.87
mandalgovi,66,MN,1595078543,41,45.76,106.27,64.51,8.01
timra,90,SE,1595078543,60,62.49,17.33,72,9.17
bom jesus,19,BR,1595078543,45,-9.07,-44.36,82.02,10.29
chicama,38,PE,1595077994,77,-7.84,-79.15,62.94,3.8
lahij,100,YE,1595077989,30,13.17,44.58,97.63,4.05
bac giang,100,VN,1595078544,59,21.27,106.2,91.4,12.75
sinjar,0,IQ,1595078544,8,36.32,41.88,102.11,13.85
asfi,15,MA,1595078544,67,32.3,-9.24,77.61,15.05
ust-tsilma,6,RU,1595078544,67,65.44,52.15,69.96,6.04
saint-marc,42,HT,1595078544,67,19.11,-72.69,82.22,2.73
saint-augustin,0,CA,1595078544,44,51.23,-58.65,65.64,6.96
kediri,93,ID,1595078320,79,-7.82,112.02,74.01,11.56
agirish,85,RU,1595078545,57,61.92,63.02,78.06,7.81
faya,,TD,,,,,,
marsh harbour,4,BS,1595078545,80,26.54,-77.06,82.4,17.11
oranjestad,40,AW,1595078545,74,12.52,-70.03,84.2,24.16
saint-philippe,20,RE,1595078545,60,-21.36,55.77,71.6,18.34
yelyzavethradka,0,UA,1595078545,45,48.8,32.4,77.45,10.42
tambul,,SD,,,,,,
osakarovka,60,KZ,1595078546,39,50.56,72.57,84.52,13.6
mangochi,1,MW,1595078546,40,-14.48,35.26,76.08,14.16
regina,75,CA,1595078547,93,50.45,-104.62,59,9.17
santa cruz,0,CR,1595078547,83,10.26,-85.59,77,3.36
roma,0,AU,1595078547,54,-26.58,148.78,53.6,7.43
balkhash,0,KZ,1595078547,29,46.84,74.98,87.75,7.2
puerto carreno,40,CO,1595078403,88,6.19,-67.49,77,2.13
tautira,96,PF,1595078018,88,-17.73,-149.15,73,11.99
baruun-urt,100,MN,1595078548,88,46.68,113.28,50.59,12.5
balaghat,100,IN,1595078548,61,21.8,80.18,88.66,5.23
chichihualco,0,MX,1595078548,81,17.68,-99.65,63.03,1.23
salima,0,MW,1595078548,35,-13.78,34.46,77.02,9.55
presidencia roque saenz pena,0,AR,1595078548,37,-26.79,-60.44,79.12,13.82
port shepstone,0,ZA,1595078548,43,-30.74,30.45,71.69,8.25
goianapolis,20,BR,1595078548,50,-16.51,-49.02,75.2,16.11
pakenham,16,AU,1595078549,68,-38.07,145.48,53.01,9.06
saucillo,93,MX,1595078549,49,28.02,-105.28,78.69,0.58
shingu,100,JP,1595078549,88,33.73,135.98,71.62,6.42
sonepur,100,IN,1595078549,60,20.83,83.92,89.78,4.9
muchkapskiy,97,RU,1595078549,69,51.85,42.47,66.58,5.86
jambi,100,ID,1595078549,92,-1.6,103.62,75.67,2.37
akdepe,0,TM,1595078550,13,42.06,59.38,105.8,9.17
haibowan,,CN,,,,,,
arlit,0,NE,1595078551,26,18.74,7.39,98.87,7.9
upington,0,ZA,1595078551,8,-28.45,21.26,75.2,9.17
hit,0,IQ,1595078551,7,33.64,42.83,111.87,8.57
kavieng,100,PG,1595078551,72,-2.57,150.8,82.51,8.46
kuala terengganu,20,MY,1595078552,88,5.33,103.14,82.4,3.36
pandan,100,PH,1595078552,78,14.05,124.17,82.24,6.76
san angelo,1,US,1595078552,69,31.46,-100.44,77,3.36
zhigansk,98,RU,1595078552,88,66.77,123.37,59.59,5.86
bushehr,0,IR,1595078552,42,28.97,50.84,100.4,9.17
mossendjo,1,CG,1595078552,47,-2.95,12.73,84.36,4.32
ventspils,23,LV,1595078552,44,57.39,21.56,77,6.93
longyearbyen,75,SJ,1595078552,66,78.22,15.64,50,18.34
beringovskiy,98,RU,1595078553,87,63.05,179.32,51.08,6.26
margate,0,ZA,1595078553,38,-30.86,30.37,73.35,5.82
mindelo,20,CV,1595078553,48,16.89,-24.98,84.2,16.11
tucuman,95,AR,1595078339,87,-26.82,-65.22,50,6.93
valasske klobouky,100,CZ,1595078553,90,49.14,18.01,64.99,2.57
patos de minas,0,BR,1595078553,63,-18.58,-46.52,71.01,7
gunjur,75,GM,1595078553,74,13.2,-16.73,84.2,3.36
shakiso,59,ET,1595078554,64,5.75,38.92,67.8,7.25
terrace,90,CA,1595078555,93,54.52,-128.6,53.6,14.99
envira,0,BR,1595078555,69,-7.3,-70.22,79.38,1.34
arman,100,RU,1595078555,78,59.7,150.17,54.09,7.52
komsomolskiy,0,RU,1595078555,20,43.98,46.7,99.21,7.74
kuche,,CN,,,,,,
arandis,0,NA,1595078555,21,-22.42,14.97,82.99,5.01
rawson,48,AR,1595078556,72,-43.3,-65.1,45.25,8.3
tommot,59,RU,1595078556,90,58.96,126.29,59.4,3.06
tharrawaddy,,MM,,,,,,
cazaje,,AO,,,,,,
salinopolis,3,BR,1595078556,69,-0.61,-47.36,83.14,5.39
farafangana,36,MG,1595078556,64,-22.82,47.83,70.47,8.01
valenca,42,BR,1595078445,77,-13.37,-39.07,74.88,6.91
boguchany,100,RU,1595078556,56,58.38,97.45,57.99,4.63
gafanha da encarnacao,0,PT,1595078557,54,40.62,-8.73,102.99,5.82
mabaruma,91,GY,1595078557,90,8.2,-59.78,81,2.37
klaksvik,95,FO,1595078557,87,62.23,-6.59,51.8,11.41
hirara,100,JP,1595078557,82,24.8,125.28,84.42,20.27
wladyslawowo,0,PL,1595078557,50,54.79,18.4,75.2,9.17
pochutla,40,MX,1595078443,73,15.74,-96.47,75.99,3.96
poyarkovo,57,RU,1595078558,65,49.6,128.68,75.45,6.85
samusu,,WS,,,,,,
mangrol,35,IN,1595078558,79,21.12,70.12,85.46,20.29
kangaatsiaq,83,GL,1595078558,63,68.31,-53.46,48.6,9.71
port augusta,2,AU,1595078559,81,-32.5,137.77,53.6,5.82
linxi,100,CN,1595078559,46,39.7,118.43,69.01,6.53
san borja,0,BO,1595078559,65,-14.82,-66.85,78.69,2.98
verkhnevilyuysk,0,RU,1595078560,76,63.45,120.32,59.99,4.65
libreville,40,GA,1595078367,69,0.39,9.45,82.4,6.93
kununurra,3,AU,1595078560,30,-15.77,128.73,62.6,4.85
xining,46,CN,1595078006,74,36.62,101.77,53.37,1.14
penalva,1,BR,1595078560,60,-3.29,-45.17,82.72,4.97
san rafael,100,AR,1595078560,48,-34.62,-68.33,50.77,3.78
nelson bay,100,AU,1595078560,100,-32.72,152.15,48.99,5.77
asau,,TV,,,,,,
utiroa,,KI,,,,,,
skjervoy,6,NO,1595078561,82,70.03,20.97,53.53,1.23
kimbe,100,PG,1595078561,92,-5.55,150.14,74.1,2.71
locri,40,IT,1595078561,58,38.24,16.26,82.4,8.05
whitecourt,75,CA,1595078561,87,54.15,-115.69,53.6,11.41
mayumba,20,GA,1595078561,74,-3.43,10.66,76.06,7.67
urumqi,20,CN,1595078561,20,43.8,87.6,95,8.95
council bluffs,1,US,1595078562,83,41.26,-95.86,81,11.41
rio verde de mato grosso,0,BR,1595078562,33,-18.92,-54.84,79.2,11.9
dzaoudzi,0,YT,1595078562,61,-12.79,45.27,78.8,14.99
lampazos de naranjo,21,MX,1595078562,72,27.02,-100.52,78.42,5.41
malakal,,SD,,,,,,
scottsburgh,,ZA,,,,,,
turochak,0,RU,1595078563,61,52.26,87.12,74.34,5.84
seoul,1,KR,1595078407,83,37.57,126.98,78.8,1.72
jerantut,97,MY,1595078564,90,3.94,102.36,76.26,1.83
ozgon,,KG,,,,,,
keetmanshoop,0,NA,1595078564,11,-26.58,18.13,73.4,11.41
bojnurd,20,IR,1595078564,17,37.47,57.33,93.2,13.87
san carlos de bariloche,75,AR,1595078564,93,-41.15,-71.31,35.6,2.24
derzhavinsk,40,KZ,1595078564,31,51.1,66.32,91.99,18.84
salym,0,RU,1595078565,44,60.06,71.48,88.21,5.61
zhongxing,100,CN,1595078565,98,33.7,118.68,76.32,5.66
weligama,82,LK,1595078565,81,5.97,80.42,81.63,10.25
carmen,20,MX,1595078565,88,18.63,-91.83,78.8,8.68
hualmay,58,PE,1595078565,78,-11.1,-77.61,60.4,6.53
troitskiy,0,RU,1595078565,48,57.06,63.75,87.57,5.75
maniitsoq,100,GL,1595078284,59,65.42,-52.9,52.86,5.14
tirur,75,IN,1595078565,88,10.9,75.92,77,6.93
yining,100,CN,1595078565,85,29.04,114.56,80.28,2.35
tuggurt,,DZ,,,,,,
uroteppa,,TJ,,,,,,
lenina,84,RU,1595078566,51,46.07,39.78,83.08,6.33
bloomington,90,US,1595078556,88,44.84,-93.3,71.01,6.93
kavaratti,48,IN,1595078566,77,10.57,72.64,82.69,18.61
boundiali,10,CI,1595078566,78,9.52,-6.49,80.15,7.09
dong hoi,100,VN,1595078567,74,17.48,106.6,84.7,11.23
tezu,100,IN,1595078567,83,27.92,96.17,76.78,3.78
maardu,58,EE,1595078568,50,59.48,25.02,75.2,11.41
galgani,,SD,,,,,,
tashla,100,RU,1595078568,42,51.77,52.74,90.1,9.98
kathmandu,75,NP,1595078568,100,27.72,85.32,69.8,2.24
macamic,20,CA,1595078568,82,48.75,-79,64.4,2.24
praxedis guerrero,75,MX,1595078569,44,31.37,-106.02,81,23.04
pangnirtung,100,CA,1595078569,66,66.15,-65.71,50.9,1.01
tutoia,100,BR,1595078569,56,-2.76,-42.27,82.69,5.44
pundaguitan,88,PH,1595077981,75,6.37,126.17,83.07,10.33
warqla,,DZ,,,,,,
bubaque,83,GW,1595078569,83,11.28,-15.83,79.47,15.88
newport,87,GB,1595078569,76,51.59,-3,68,1.99
rawannawi,,KI,,,,,,
barguzin,0,RU,1595078570,66,53.62,109.62,53.65,4.92
virginia beach,40,US,1595078481,66,36.85,-75.98,84.2,5.82
vermilion,75,CA,1595078415,82,53.37,-110.85,55.4,12.75
kokkola,40,FI,1595078470,56,63.84,23.13,73.4,10.29
weatherford,94,US,1595078367,86,32.76,-97.8,79,3
silver city,75,US,1595078570,46,32.77,-108.28,71.6,4.7
lethem,27,GY,1595078570,76,3.38,-59.8,81.45,5.1
nizhniy kuranakh,100,RU,1595078570,89,58.84,125.49,58.55,2.21
fortuna,1,US,1595078572,100,40.6,-124.16,52,1.12
sirvintos,45,LT,1595078572,30,55.05,24.95,80.6,4.7
lewiston,40,US,1595078572,93,44.1,-70.21,75.99,4.47
hobyo,100,SO,1595078572,66,5.35,48.53,79.74,31.43
itarema,0,BR,1595078572,60,-2.92,-39.92,84.06,14.92
laela,17,TZ,1595078572,32,-8.57,32.05,71.94,6.89
seminole,4,US,1595078572,86,28.71,-81.21,84,1.99
vardo,75,NO,1595078572,82,70.37,31.11,62.6,1.12
srednekolymsk,0,RU,1595078573,85,67.45,153.68,46.94,4.21
beaverlodge,40,CA,1595078573,87,55.22,-119.44,53.6,3.36
kumbo,99,CM,1595078573,87,6.2,10.67,65.88,3.13
portland,85,AU,1595078573,69,-38.33,141.6,54.19,13.09
adrar,0,DZ,1595078573,7,25.75,-1,112.96,4.29
tazovskiy,100,RU,1595078573,56,67.47,78.7,57.85,0.43
dabhol,70,IN,1595078573,87,17.6,73.17,80.29,9.98
piacabucu,100,BR,1595078574,81,-10.41,-36.43,75.52,11.59
humboldt,6,CA,1595078574,88,52.2,-105.13,56.91,11.32
beloha,34,MG,1595078574,52,-25.17,45.05,72.14,12.64
